tconst,primary_title,averagerating,numvotes,start_year,runtime_minutes,genres,weighted_rating
tt0435651,The Giver,6.5,104999,2014,97.0,"Drama,Romance,Sci-Fi",6.467832252555789
tt0455407,The Crazies,6.5,104465,2010,101.0,"Horror,Thriller",6.46769957131271
tt3531824,Nerve,6.5,102782,2016,96.0,"Action,Adventure,Crime",6.467274146593417
tt3861390,Dumbo,6.6,25072,2019,112.0,"Adventure,Family,Fantasy",6.4665566584118865
tt2312718,Homefront,6.5,98549,2013,100.0,"Action,Thriller",6.466152902896826
tt1656190,Safe,6.5,96388,2012,94.0,"Action,Crime,Thriller",6.4655503427027385
tt1327194,The Lucky One,6.5,94359,2012,101.0,"Drama,Romance",6.4649647282567715
tt1433108,Faster,6.5,93618,2010,98.0,"Action,Crime,Drama",6.464745864877169
tt5140878,Annabelle: Creation,6.5,90402,2017,109.0,"Horror,Mystery,Thriller",6.46376340964628
tt1212419,Hereafter,6.5,87288,2010,129.0,"Drama,Fantasy,Romance",6.462758487104588
tt5308322,Happy Death Day,6.5,87132,2017,96.0,"Horror,Mystery,Thriller",6.462706676060357
tt2241351,Money Monster,6.5,86607,2016,98.0,"Crime,Drama,Thriller",6.462531248039998
tt1216492,Leap Year,6.5,86125,2010,100.0,"Comedy,Romance",6.462368728908886
tt3063516,Bad Grandpa,6.5,85724,2013,92.0,Comedy,6.462232442830822
tt2854926,Tag,6.5,85186,2018,100.0,Comedy,6.462048036955693
tt2140379,Self/less,6.5,80743,2015,117.0,"Action,Mystery,Sci-Fi",6.460453410627654
tt0882977,Snitch,6.5,78142,2013,112.0,"Action,Drama,Thriller",6.459456138139652
tt1666801,The Duff,6.5,74486,2015,101.0,"Comedy,Romance",6.457966196248718
tt1488606,Triple Frontier,6.5,72202,2019,125.0,"Action,Adventure,Crime",6.456978508672661
tt1528071,Horns,6.5,70040,2013,120.0,"Crime,Drama,Fantasy",6.455999842171717
tt1126618,Morning Glory,6.5,67367,2010,107.0,"Comedy,Drama,Romance",6.454726525707233
tt1591479,Act of Valor,6.5,63787,2012,110.0,"Action,Adventure,Drama",6.4529010440717665
tt1679335,Trolls,6.5,63295,2016,92.0,"Adventure,Animation,Comedy",6.452638597882099
tt2101341,Dead Man Down,6.5,61238,2013,118.0,"Action,Crime,Drama",6.451508905586864
tt1473832,Bridget Jones's Baby,6.5,60260,2016,123.0,"Comedy,Drama,Romance",6.450952674173117
tt1687901,The Awakening,6.5,60215,2011,102.0,"Horror,Thriller",6.450926773455377
tt1588334,"Jeff, Who Lives at Home",6.5,60070,2011,83.0,"Comedy,Drama",6.450843129187728
